"Variable" "Mean" "Standard Deviation"
"tBodyAcc-mean()-X" 0.274347260646063 0.0676277962784943
"tBodyAcc-mean()-Y" -0.0177434918458972 0.0676277962784943
"tBodyAcc-mean()-Z" -0.108925032737064 0.0676277962784943
"tGravityAcc-mean()-X" 0.669226222373046 0.0676277962784943
"tGravityAcc-mean()-Y" 0.00403879092060517 0.0676277962784943
"tGravityAcc-mean()-Z" 0.0921508600211059 0.0676277962784943
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.0676277962784943
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.0676277962784943
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.0676277962784943
"tBodyGyro-mean()-X" -0.0309824871713436 0.0676277962784943
"tBodyGyro-mean()-Y" -0.0747194855994359 0.0676277962784943
"tBodyGyro-mean()-Z" 0.088357304227173 0.0676277962784943
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.0676277962784943
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.0676277962784943
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.0676277962784943
"tBodyAccMag-mean()" -0.54822165976717 0.0676277962784943
"tGravityAccMag-mean()" -0.54822165976717 0.0676277962784943
"tBodyAccJerkMag-mean()" -0.649417950650692 0.0676277962784943
"tBodyGyroMag-mean()" -0.60524856977632 0.0676277962784943
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.0676277962784943
"fBodyAcc-mean()-X" -0.622761658493734 0.0676277962784943
"fBodyAcc-mean()-Y" -0.53749328145871 0.0676277962784943
"fBodyAcc-mean()-Z" -0.665033506271952 0.0676277962784943
"fBodyAccJerk-mean()-X" -0.656713524546605 0.0676277962784943
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.0676277962784943
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.0676277962784943
"fBodyGyro-mean()-X" -0.672094306818974 0.0676277962784943
"fBodyGyro-mean()-Y" -0.70621663959074 0.0676277962784943
"fBodyGyro-mean()-Z" -0.644192752866115 0.0676277962784943
"fBodyAccMag-mean()" -0.585962696268539 0.0676277962784943
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.0676277962784943
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.0676277962784943
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.0676277962784943
"tBodyAcc-mean()-X" 0.274347260646063 0.0371281663827435
"tBodyAcc-mean()-Y" -0.0177434918458972 0.0371281663827435
"tBodyAcc-mean()-Z" -0.108925032737064 0.0371281663827435
"tGravityAcc-mean()-X" 0.669226222373046 0.0371281663827435
"tGravityAcc-mean()-Y" 0.00403879092060517 0.0371281663827435
"tGravityAcc-mean()-Z" 0.0921508600211059 0.0371281663827435
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.0371281663827435
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.0371281663827435
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.0371281663827435
"tBodyGyro-mean()-X" -0.0309824871713436 0.0371281663827435
"tBodyGyro-mean()-Y" -0.0747194855994359 0.0371281663827435
"tBodyGyro-mean()-Z" 0.088357304227173 0.0371281663827435
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.0371281663827435
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.0371281663827435
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.0371281663827435
"tBodyAccMag-mean()" -0.54822165976717 0.0371281663827435
"tGravityAccMag-mean()" -0.54822165976717 0.0371281663827435
"tBodyAccJerkMag-mean()" -0.649417950650692 0.0371281663827435
"tBodyGyroMag-mean()" -0.60524856977632 0.0371281663827435
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.0371281663827435
"fBodyAcc-mean()-X" -0.622761658493734 0.0371281663827435
"fBodyAcc-mean()-Y" -0.53749328145871 0.0371281663827435
"fBodyAcc-mean()-Z" -0.665033506271952 0.0371281663827435
"fBodyAccJerk-mean()-X" -0.656713524546605 0.0371281663827435
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.0371281663827435
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.0371281663827435
"fBodyGyro-mean()-X" -0.672094306818974 0.0371281663827435
"fBodyGyro-mean()-Y" -0.70621663959074 0.0371281663827435
"fBodyGyro-mean()-Z" -0.644192752866115 0.0371281663827435
"fBodyAccMag-mean()" -0.585962696268539 0.0371281663827435
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.0371281663827435
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.0371281663827435
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.0371281663827435
"tBodyAcc-mean()-X" 0.274347260646063 0.0530330859935597
"tBodyAcc-mean()-Y" -0.0177434918458972 0.0530330859935597
"tBodyAcc-mean()-Z" -0.108925032737064 0.0530330859935597
"tGravityAcc-mean()-X" 0.669226222373046 0.0530330859935597
"tGravityAcc-mean()-Y" 0.00403879092060517 0.0530330859935597
"tGravityAcc-mean()-Z" 0.0921508600211059 0.0530330859935597
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.0530330859935597
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.0530330859935597
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.0530330859935597
"tBodyGyro-mean()-X" -0.0309824871713436 0.0530330859935597
"tBodyGyro-mean()-Y" -0.0747194855994359 0.0530330859935597
"tBodyGyro-mean()-Z" 0.088357304227173 0.0530330859935597
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.0530330859935597
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.0530330859935597
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.0530330859935597
"tBodyAccMag-mean()" -0.54822165976717 0.0530330859935597
"tGravityAccMag-mean()" -0.54822165976717 0.0530330859935597
"tBodyAccJerkMag-mean()" -0.649417950650692 0.0530330859935597
"tBodyGyroMag-mean()" -0.60524856977632 0.0530330859935597
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.0530330859935597
"fBodyAcc-mean()-X" -0.622761658493734 0.0530330859935597
"fBodyAcc-mean()-Y" -0.53749328145871 0.0530330859935597
"fBodyAcc-mean()-Z" -0.665033506271952 0.0530330859935597
"fBodyAccJerk-mean()-X" -0.656713524546605 0.0530330859935597
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.0530330859935597
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.0530330859935597
"fBodyGyro-mean()-X" -0.672094306818974 0.0530330859935597
"fBodyGyro-mean()-Y" -0.70621663959074 0.0530330859935597
"fBodyGyro-mean()-Z" -0.644192752866115 0.0530330859935597
"fBodyAccMag-mean()" -0.585962696268539 0.0530330859935597
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.0530330859935597
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.0530330859935597
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.0530330859935597
"tBodyAcc-mean()-X" 0.274347260646063 0.515485780308741
"tBodyAcc-mean()-Y" -0.0177434918458972 0.515485780308741
"tBodyAcc-mean()-Z" -0.108925032737064 0.515485780308741
"tGravityAcc-mean()-X" 0.669226222373046 0.515485780308741
"tGravityAcc-mean()-Y" 0.00403879092060517 0.515485780308741
"tGravityAcc-mean()-Z" 0.0921508600211059 0.515485780308741
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.515485780308741
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.515485780308741
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.515485780308741
"tBodyGyro-mean()-X" -0.0309824871713436 0.515485780308741
"tBodyGyro-mean()-Y" -0.0747194855994359 0.515485780308741
"tBodyGyro-mean()-Z" 0.088357304227173 0.515485780308741
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.515485780308741
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.515485780308741
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.515485780308741
"tBodyAccMag-mean()" -0.54822165976717 0.515485780308741
"tGravityAccMag-mean()" -0.54822165976717 0.515485780308741
"tBodyAccJerkMag-mean()" -0.649417950650692 0.515485780308741
"tBodyGyroMag-mean()" -0.60524856977632 0.515485780308741
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.515485780308741
"fBodyAcc-mean()-X" -0.622761658493734 0.515485780308741
"fBodyAcc-mean()-Y" -0.53749328145871 0.515485780308741
"fBodyAcc-mean()-Z" -0.665033506271952 0.515485780308741
"fBodyAccJerk-mean()-X" -0.656713524546605 0.515485780308741
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.515485780308741
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.515485780308741
"fBodyGyro-mean()-X" -0.672094306818974 0.515485780308741
"fBodyGyro-mean()-Y" -0.70621663959074 0.515485780308741
"fBodyGyro-mean()-Z" -0.644192752866115 0.515485780308741
"fBodyAccMag-mean()" -0.585962696268539 0.515485780308741
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.515485780308741
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.515485780308741
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.515485780308741
"tBodyAcc-mean()-X" 0.274347260646063 0.378909215421356
"tBodyAcc-mean()-Y" -0.0177434918458972 0.378909215421356
"tBodyAcc-mean()-Z" -0.108925032737064 0.378909215421356
"tGravityAcc-mean()-X" 0.669226222373046 0.378909215421356
"tGravityAcc-mean()-Y" 0.00403879092060517 0.378909215421356
"tGravityAcc-mean()-Z" 0.0921508600211059 0.378909215421356
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.378909215421356
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.378909215421356
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.378909215421356
"tBodyGyro-mean()-X" -0.0309824871713436 0.378909215421356
"tBodyGyro-mean()-Y" -0.0747194855994359 0.378909215421356
"tBodyGyro-mean()-Z" 0.088357304227173 0.378909215421356
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.378909215421356
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.378909215421356
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.378909215421356
"tBodyAccMag-mean()" -0.54822165976717 0.378909215421356
"tGravityAccMag-mean()" -0.54822165976717 0.378909215421356
"tBodyAccJerkMag-mean()" -0.649417950650692 0.378909215421356
"tBodyGyroMag-mean()" -0.60524856977632 0.378909215421356
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.378909215421356
"fBodyAcc-mean()-X" -0.622761658493734 0.378909215421356
"fBodyAcc-mean()-Y" -0.53749328145871 0.378909215421356
"fBodyAcc-mean()-Z" -0.665033506271952 0.378909215421356
"fBodyAccJerk-mean()-X" -0.656713524546605 0.378909215421356
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.378909215421356
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.378909215421356
"fBodyGyro-mean()-X" -0.672094306818974 0.378909215421356
"fBodyGyro-mean()-Y" -0.70621663959074 0.378909215421356
"fBodyGyro-mean()-Z" -0.644192752866115 0.378909215421356
"fBodyAccMag-mean()" -0.585962696268539 0.378909215421356
"fBodyBodyAccJerkMag-mean()" -0.620789916331592 0.378909215421356
"fBodyBodyGyroMag-mean()" -0.697411069729937 0.378909215421356
"fBodyBodyGyroJerkMag-mean()" -0.779767633083527 0.378909215421356
"tBodyAcc-mean()-X" 0.274347260646063 0.334270168704641
"tBodyAcc-mean()-Y" -0.0177434918458972 0.334270168704641
"tBodyAcc-mean()-Z" -0.108925032737064 0.334270168704641
"tGravityAcc-mean()-X" 0.669226222373046 0.334270168704641
"tGravityAcc-mean()-Y" 0.00403879092060517 0.334270168704641
"tGravityAcc-mean()-Z" 0.0921508600211059 0.334270168704641
"tBodyAccJerk-mean()-X" 0.0789381220355816 0.334270168704641
"tBodyAccJerk-mean()-Y" 0.0079481069090025 0.334270168704641
"tBodyAccJerk-mean()-Z" -0.00467469823628666 0.334270168704641
"tBodyGyro-mean()-X" -0.0309824871713436 0.334270168704641
"tBodyGyro-mean()-Y" -0.0747194855994359 0.334270168704641
"tBodyGyro-mean()-Z" 0.088357304227173 0.334270168704641
"tBodyGyroJerk-mean()-X" -0.0967092754729682 0.334270168704641
"tBodyGyroJerk-mean()-Y" -0.0423181079782632 0.334270168704641
"tBodyGyroJerk-mean()-Z" -0.0548303497968374 0.334270168704641
"tBodyAccMag-mean()" -0.54822165976717 0.334270168704641
"tGravityAccMag-mean()" -0.54822165976717 0.334270168704641
"tBodyAccJerkMag-mean()" -0.649417950650692 0.334270168704641
"tBodyGyroMag-mean()" -0.60524856977632 0.334270168704641
"tBodyGyroJerkMag-mean()" -0.762137610987416 0.334270168704641
"fBodyAcc-mean()-X" -0.622761658493734 0.334270168704641
"fBodyAcc-mean()-Y" -0.53749328145871 0.334270168704641
"fBodyAcc-mean()-Z" -0.665033506271952 0.334270168704641
"fBodyAccJerk-mean()-X" -0.656713524546605 0.334270168704641
"fBodyAccJerk-mean()-Y" -0.628961179980356 0.334270168704641
"fBodyAccJerk-mean()-Z" -0.743608246170053 0.334270168704641
"fBodyGyro-mean()-X" -0.672094306818974 0.334270168704641
"fBodyGyro-mean()-Y" -0.70621663959074 0.334270168704641
